institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
235334,2019,67.0,0.0,2.0,0.0,5.0,0.0,56.0,3.0,1.0,0.0,246,2.0,3.0,1.0,29.0,1.0,178.0,30.0,2.0,0.0
235334,2020,94.0,3.0,1.0,1.0,9.0,1.0,68.0,8.0,3.0,0.0,285,8.0,2.0,6.0,42.0,1.0,184.0,35.0,7.0,0.0
235343,2014,203.0,1.0,15.0,5.0,8.0,0.0,157.0,7.0,10.0,0.0,665,7.0,38.0,31.0,38.0,6.0,481.0,33.0,31.0,0.0
235343,2015,245.0,3.0,9.0,8.0,12.0,1.0,185.0,13.0,14.0,0.0,687,8.0,31.0,34.0,40.0,7.0,478.0,53.0,36.0,0.0
235343,2016,253.0,0.0,18.0,12.0,12.0,0.0,178.0,22.0,11.0,0.0,694,4.0,37.0,48.0,40.0,1.0,474.0,61.0,29.0,0.0
235343,2017,201.0,4.0,10.0,7.0,10.0,0.0,156.0,7.0,7.0,0.0,625,8.0,36.0,40.0,41.0,4.0,432.0,34.0,30.0,0.0
235343,2018,205.0,2.0,12.0,8.0,23.0,1.0,124.0,19.0,16.0,0.0,554,8.0,33.0,30.0,58.0,8.0,320.0,52.0,45.0,0.0
235343,2019,230.0,1.0,19.0,4.0,17.0,3.0,152.0,21.0,13.0,0.0,602,4.0,46.0,32.0,60.0,6.0,353.0,67.0,34.0,0.0
235343,2020,224.0,0.0,20.0,9.0,27.0,0.0,127.0,20.0,21.0,0.0,594,2.0,41.0,43.0,61.0,4.0,327.0,66.0,49.0,1.0
235422,2010,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
235422,2011,11.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,75,10.0,0.0,1.0,57.0,0.0,7.0,0.0,0.0,0.0
235422,2012,18.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,84,8.0,1.0,0.0,73.0,0.0,2.0,0.0,0.0,0.0
235422,2013,14.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,76,12.0,0.0,0.0,58.0,0.0,6.0,0.0,0.0,0.0
235422,2014,11.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,58,11.0,0.0,0.0,42.0,0.0,3.0,1.0,1.0,0.0
235422,2015,17.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,94,14.0,0.0,1.0,71.0,0.0,5.0,2.0,1.0,0.0
235422,2016,17.0,2.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,101,22.0,0.0,0.0,68.0,0.0,8.0,1.0,2.0,0.0
235422,2017,25.0,1.0,0.0,0.0,19.0,0.0,2.0,3.0,0.0,0.0,111,21.0,0.0,0.0,77.0,0.0,9.0,3.0,1.0,0.0
235422,2018,25.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,81,9.0,1.0,1.0,68.0,0.0,2.0,0.0,0.0,0.0
235422,2019,30.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,0.0,74,4.0,0.0,1.0,58.0,0.0,11.0,0.0,0.0,0.0
